tweet_id,retweeter,tweeter
7.4583E+17,NHSMillion,Fermentedmust
7.45845E+17,Mike_Fabricant,DanHannanMEP
7.45845E+17,DavidJo52951945,vote_leave
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,theordinaryman2
7.45846E+17,Fight4UK,Gertusout
7.45846E+17,Fight4UK,theordinaryman2
7.45847E+17,Mike_Fabricant,vote_leave
7.45848E+17,Dwalingen,Dwalingen
7.45851E+17,Fight4UK,M0nk33y
7.45851E+17,Fight4UK,bobblackmanmp
7.45851E+17,Dwalingen,DemoGrazzi
7.45851E+17,Dwalingen,David_J_Price
7.45851E+17,Fight4UK,DanHannanMEP
7.45851E+17,Fight4UK,DanHannanMEP
7.45851E+17,Fight4UK,DanHannanMEP
7.45851E+17,Dwalingen,suttonnick
7.45852E+17,Fight4UK,RaajShamji
7.45852E+17,Dwalingen,1_texanna
7.45852E+17,Dwalingen,RavenHUWolf
7.45852E+17,Fight4UK,LeaveEUOfficial
7.45852E+17,Fight4UK,vote_leave
7.45852E+17,Fight4UK,vote_leave
7.45852E+17,Dwalingen,GeorginaDowner
7.45852E+17,Fight4UK,vote_leave
7.45852E+17,Fight4UK,LondonLeave
7.45852E+17,Fight4UK,thecriticalg
7.45853E+17,Fight4UK,terrylawes
7.45853E+17,Fight4UK,LeaveJune23
7.45853E+17,Dwalingen,Dwalingen
7.45853E+17,Fight4UK,Mawercallum
7.45853E+17,Fight4UK,Vote_To_Leave
7.45853E+17,Australiaunwra6,Smittyshs
7.45853E+17,Fight4UK,NeilHarding
7.45853E+17,Australiaunwra6,PayAttnLibs
7.45855E+17,sturdyAlex,sturdyAlex
7.45855E+17,Fight4UK,Nigel_Farage
7.45856E+17,Dwalingen,JePatriote
7.45856E+17,Dwalingen,HopeDieBefore
7.45856E+17,Fight4UK,Nigel_Farage
7.45856E+17,Australiaunwra6,HarridgePike
7.45857E+17,LouiseMensch,joe_pattinson
7.45857E+17,LouiseMensch,Vicalmar
7.45857E+17,Dwalingen,shipwrekked2
7.45857E+17,Dwalingen,KappaRar
7.45857E+17,Leavethe_EU,V3GA10
7.45858E+17,Dwalingen,SpencerHills2
7.45858E+17,Fight4UK,BetterOffOut
7.45858E+17,Fight4UK,AndrewRosindell
7.45858E+17,Fight4UK,davidroachcouk
7.45858E+17,Fight4UK,gavthebrexit
7.45858E+17,Fight4UK,VladimirMatern
7.45858E+17,LouiseMensch,Y_Eurosceptics
7.45858E+17,Fight4UK,davidroachcouk
7.45858E+17,Fight4UK,Hunter7Taylor
7.45859E+17,Fight4UK,Stop_The_EU
7.45859E+17,Fight4UK,Stop_The_EU
7.45859E+17,Fight4UK,Stop_The_EU
7.45859E+17,Fight4UK,_WilliamJones_
7.45859E+17,Fight4UK,Stop_The_EU
7.45859E+17,Fight4UK,vote_leave
7.45859E+17,SkyNews,skyelections
7.4586E+17,Dwalingen,bobblackmanmp
7.4586E+17,Dwalingen,vote_leave
7.4586E+17,Dwalingen,ira_tenax
7.4586E+17,Dwalingen,LinkseN8merrie
7.4586E+17,Dwalingen,DanHannanMEP
7.45861E+17,Dwalingen,SJ_Powell
7.45861E+17,Dwalingen,truusdemierr
7.45861E+17,Dwalingen,Dwalingen
7.45862E+17,Fight4UK,simplysimontfa
7.45862E+17,NadineDorriesMP,Mike_Fabricant
7.45862E+17,Dwalingen,ira_tenax
7.45862E+17,StrongerInPress,NicolaSturgeon
7.45863E+17,StrongerInPress,MaryCreaghMP
7.45863E+17,Dwalingen,BradleyRAyres
7.45863E+17,DavidJo52951945,LeaveEUOfficial
7.45863E+17,LouiseMensch,darryncausby
7.45863E+17,Dwalingen,bernerlap
7.45863E+17,Dwalingen,Trev_Forrester
7.45864E+17,JuliaHB1,DanHannanMEP
7.45864E+17,StrongerInPress,Jack_Slater
7.45864E+17,JuliaHB1,Mike_Fabricant
7.45865E+17,NadineDorriesMP,DanHannanMEP
7.45865E+17,Mike_Fabricant,NadineDorriesMP
7.45866E+17,bazlyons,mrnickharvey
7.45866E+17,DickGraceless,docrussjackson
7.45866E+17,DickGraceless,alexvtunzelmann
7.45866E+17,StrongerInPress,EmmaReynoldsMP
7.45867E+17,StrongerInPress,RuthDavidsonMSP
7.45867E+17,StrongerInPress,ben4bath
7.45867E+17,StrongerIn,RuthDavidsonMSP
7.45867E+17,DickGraceless,MagsNews
7.45867E+17,StrongerInPress,StrongerIn
7.45868E+17,StrongerInPress,redgirlang
7.45869E+17,sturdyAlex,Jo_Cox1
7.45869E+17,sturdyAlex,Jo_Cox1
7.45869E+17,sturdyAlex,Jo_Cox1
7.45869E+17,sturdyAlex,Jo_Cox1
7.4587E+17,Dwalingen,DavidJo52951945
7.4587E+17,Dwalingen,INNOCENT_E_I
7.4587E+17,vote_leave,TheSun
7.4587E+17,Dwalingen,OnlineMagazin
7.45871E+17,Dwalingen,RavenHUWolf
7.45871E+17,Dwalingen,UpNorthandGRIM
7.45871E+17,Dwalingen,freek
7.45871E+17,Dwalingen,FeistyDeanne
7.45871E+17,Dwalingen,Students4Leave
7.45871E+17,Dwalingen,LeaveEUOfficial
7.45871E+17,Dwalingen,Dwalingen
7.45871E+17,Dwalingen,Dwalingen
7.45871E+17,Dwalingen,Dwalingen
7.45872E+17,Dwalingen,Dwalingen
7.45872E+17,Dwalingen,Dwalingen
7.45872E+17,Dwalingen,Dwalingen
7.45872E+17,Dwalingen,Dwalingen
7.45872E+17,Dwalingen,Dwalingen
7.45872E+17,Dwalingen,Dwalingen
