Tweet ID,Retweeter,Tweeter
7.45939E+17,LeaveEUOfficial,andrealeadsom
7.4594E+17,vote_leave,patel4witham
7.4594E+17,vote_leave,HenrySmithMP
7.4594E+17,StrongerIn,RobertBuckland
7.4594E+17,StrongerIn,Palomafaith
7.4594E+17,StrongerIn,Palomafaith
7.45941E+17,StrongerIn,Palomafaith
7.45941E+17,StrongerIn,MayorDorothy
7.45941E+17,LeaveEUOfficial,rorybroomfield
7.45941E+17,StrongerIn,Arjumwajid
7.45941E+17,StrongerIn,DavidEvennett
7.45941E+17,vote_leave,wallaceme
7.45941E+17,vote_leave,vanterheyden
7.45941E+17,vote_leave,LouiseMensch
7.45941E+17,vote_leave,Reigate_Leave
7.45941E+17,StrongerIn,MaryCreaghMP
7.45941E+17,vote_leave,SteveBakerHW
7.45942E+17,vote_leave,MrSimonDudley
7.45942E+17,vote_leave,Englishpapist
7.45942E+17,vote_leave,EmmaMcClarkin
7.45942E+17,vote_leave,andrealeadsom
7.45942E+17,StrongerIn,UKLabour
7.45943E+17,StrongerIn,EMidsStrongerIn
7.45944E+17,StrongerIn,Ed_Miliband
7.45944E+17,StrongerIn,leicesterliz
7.45945E+17,vote_leave,wallaceme
7.45945E+17,vote_leave,NadineDorriesMP
7.45946E+17,StrongerIn,joswinson
7.45946E+17,StrongerIn,CHazelgrove
7.45946E+17,StrongerIn,UKLabour
7.45946E+17,LeaveEUOfficial,TotallyTopical2
7.45946E+17,StrongerIn,sarahwollaston
7.45946E+17,vote_leave,davidburrowesmp
7.45947E+17,StrongerIn,lucycthomas
7.45948E+17,StrongerIn,Jochurchill4
7.45949E+17,vote_leave,GouldSam
7.45949E+17,LeaveEUOfficial,TheoPaphitis
7.45949E+17,LeaveEUOfficial,TheoPaphitis
7.45949E+17,StrongerIn,DamianCollins
7.45949E+17,StrongerIn,WaseemZaffar
7.4595E+17,vote_leave,JackCEsq
7.4595E+17,StrongerIn,ben4bath
7.4595E+17,StrongerIn,StrongerInPress
7.45951E+17,vote_leave,LouiseMensch
7.45951E+17,vote_leave,Mike_Fabricant
7.45952E+17,vote_leave,TheVapeTankDiss
7.45952E+17,vote_leave,TheRedRag
7.45954E+17,vote_leave,AmjadBashirMEP
7.45954E+17,StrongerIn,SarahChampionMP
7.45955E+17,StrongerIn,UKLabour
7.45955E+17,StrongerIn,MichaelDugher
7.45955E+17,StrongerIn,YvetteCooperMP
7.45956E+17,vote_leave,SuffolkLeave
7.45957E+17,StrongerIn,AlexDMitchell
7.45957E+17,StrongerIn,Keir_Starmer
7.45957E+17,StrongerIn,UKLabour
7.45957E+17,StrongerIn,jeremycorbyn
7.45959E+17,vote_leave,tomhfh
7.45959E+17,vote_leave,NikkiSinclaire7
7.4596E+17,vote_leave,thecarolemalone
7.45961E+17,StrongerIn,Vernon_Coaker
7.45961E+17,StrongerIn,ben4bath
7.45962E+17,LeaveEUOfficial,Abbielovesuall
7.45962E+17,LeaveEUOfficial,pcyphotography
7.45962E+17,StrongerIn,lucycthomas
7.45962E+17,StrongerIn,UKLabour
7.45963E+17,vote_leave,BradenDavy
7.45963E+17,vote_leave,VoteLeaveEM
7.45963E+17,vote_leave,LiamFoxMP
7.45963E+17,vote_leave,andrealeadsom
7.45963E+17,vote_leave,cholt_1
7.45965E+17,vote_leave,ChrisPincher
7.45965E+17,StrongerIn,Eluned_Parrott
7.45965E+17,StrongerIn,UKLabour
7.45965E+17,vote_leave,peterdominiczak
7.45965E+17,vote_leave,ZacGoldsmith
7.45965E+17,StrongerIn,ChukaUmunna
7.45965E+17,StrongerIn,richardbranson
7.45965E+17,StrongerIn,LibDems
7.45966E+17,StrongerIn,JamesFahy23
7.45967E+17,vote_leave,PeterABedford
7.45968E+17,vote_leave,gale_adam
7.45969E+17,vote_leave,DogsPartyPaws
7.45969E+17,StrongerIn,imLucyWatson
7.45969E+17,vote_leave,alexpstory
7.45969E+17,vote_leave,EUVoteLeave23rd
7.4597E+17,StrongerIn,jreedmp
7.45971E+17,vote_leave,Abigail_Bish
7.45971E+17,vote_leave,Ash_EButler
7.45971E+17,StrongerIn,ChukaUmunna
7.45971E+17,vote_leave,DJWarburton
7.45972E+17,vote_leave,voteleavedorset
7.45973E+17,StrongerIn,theotherJoeCole
7.45973E+17,vote_leave,AmyLeedsTory
7.45973E+17,LeaveEUOfficial,LiamFoxMP
7.45974E+17,StrongerIn,UB40OFFICIAL
7.45974E+17,LeaveEUOfficial,NeilHarding
7.45974E+17,LeaveEUOfficial,LiamVernon
7.45974E+17,LeaveEUOfficial,SteveBlogs1
7.45975E+17,LeaveEUOfficial,AmjadBashirMEP
7.45975E+17,vote_leave,elizabetha7777
7.45976E+17,LeaveEUOfficial,andrealeadsom
7.45976E+17,StrongerIn,UKLabour
7.45976E+17,StrongerIn,NEStrongerIn
7.45976E+17,vote_leave,htwiggy
7.45976E+17,StrongerIn,NickyMorgan01
7.45976E+17,StrongerIn,GregHands
7.45978E+17,vote_leave,andrealeadsom
7.45978E+17,vote_leave,SteveBlogs1
7.45978E+17,vote_leave,LiamVernon
7.45978E+17,vote_leave,BexHilton
7.45981E+17,vote_leave,Antiochean
7.45981E+17,StrongerIn,ChukaUmunna
7.45981E+17,StrongerIn,TheresaMEP
7.45981E+17,StrongerIn,JoStevensLabour
7.45981E+17,StrongerIn,JamesABolton
7.45981E+17,StrongerIn,StrongerInPress
7.45982E+17,vote_leave,Mike_Fabricant
7.45982E+17,StrongerIn,jeremycorbyn
7.45982E+17,vote_leave,anna_firth
7.45982E+17,vote_leave,SteveBakerHW
7.45984E+17,vote_leave,DavidVick5
7.45985E+17,vote_leave,NathanGillMEP
7.45986E+17,StrongerIn,thoyles
7.45987E+17,StrongerIn,yearsandyears
7.45987E+17,StrongerIn,bastilledan
7.45987E+17,StrongerIn,SWIM_DEEP
7.45987E+17,vote_leave,ajcdeane
7.45989E+17,LeaveEUOfficial,__GriffCo__
7.4599E+17,LeaveEUOfficial,labourleave
7.4599E+17,LeaveEUOfficial,PowellPolitics
7.4599E+17,LeaveEUOfficial,DavidTCDavies
7.45992E+17,StrongerIn,FrancesOGrady
7.45992E+17,StrongerIn,JessieWare
7.45993E+17,StrongerIn,GregHands
7.45996E+17,vote_leave,JakeThurmanUK
7.45996E+17,StrongerIn,StrongerInPress
7.45996E+17,vote_leave,Stewart4Pboro
7.45996E+17,vote_leave,toadmeister
7.45996E+17,StrongerIn,UKLabour
7.45996E+17,StrongerIn,MattHancockMP
7.45996E+17,vote_leave,NadineDorriesMP
7.45997E+17,vote_leave,nadhimzahawi
7.45998E+17,vote_leave,DanHannanMEP
7.45998E+17,vote_leave,VStudioSchool
7.45999E+17,StrongerIn,SadiqKhan
7.46001E+17,vote_leave,jg_ratcliffe
7.46001E+17,vote_leave,russellHpinner
7.46001E+17,vote_leave,Reigate_Leave
7.46001E+17,vote_leave,VoteLeaveSA
